bPRSL0,bPRSL1,bPRSL2,sEVNT0,sLOSS0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
10,80,84,10,20,30,2017,2017-06-02 12:48:00,10_80_84_10_20_30,-0.17,11.69,-0.36,127,-85,-85
10,90,94,10,20,30,2017,2017-06-02 12:48:00,10_90_94_10_20_30,0.08,11.76,0.17,105,-44,-44
10,85,89,10,20,60,2017,2017-06-02 12:48:00,10_85_89_10_20_60,-0.32,14.97,-0.36,114,-93,-93
10,15,19,10,20,60,2017,2017-06-02 12:31:00,10_15_19_10_20_60,-0.59,14.69,-0.67,124,-135,-135
10,65,69,10,20,30,2017,2017-06-02 13:37:00,10_65_69_10_20_30,-0.82,11.71,-1.75,135,-178,-178
20,95,99,10,30,60,2017,2017-06-01 07:31:00,20_95_99_10_30_60,0.78,13.95,0.82,40,11,11
10,85,89,10,20,30,2017,2017-06-02 12:48:00,10_85_89_10_20_30,-0.05,11.49,-0.11,114,-62,-62
10,15,19,10,20,30,2017,2017-06-02 12:31:00,10_15_19_10_20_30,-0.16,11.2,-0.34,124,-81,-81
10,70,74,10,20,30,2017,2017-06-02 13:20:00,10_70_74_10_20_30,-0.28,12.21,-0.58,135,-105,-105
10,30,34,10,20,60,2017,2017-06-02 12:31:00,10_30_34_10_20_60,-0.23,15.68,-0.26,150,-109,-109
10,75,79,10,20,60,2017,2017-06-02 13:20:00,10_75_79_10_20_60,0.4,15.55,0.45,123,-12,-12
20,95,99,10,30,120,2017,2017-06-01 07:31:00,20_95_99_10_30_120,0.34,17.51,0.18,40,-6,-6
10,35,39,10,20,60,2017,2017-06-02 15:33:00,10_35_39_10_20_60,-0.95,15.44,-1.06,146,-211,-211
10,80,84,10,20,60,2017,2017-06-02 12:48:00,10_80_84_10_20_60,0.01,14.89,0.01,127,-62,-62
10,50,54,10,20,30,2017,2017-06-02 17:55:00,10_50_54_10_20_30,-0.29,12.37,-0.62,119,-94,-94
10,60,64,10,20,30,2017,2017-06-02 13:45:00,10_60_64_10_20_30,-0.09,11.64,-0.19,137,-80,-80
10,0,4,10,20,60,2017,2017-06-02 12:33:00,10_0_4_10_20_60,-1.49,13.94,-1.74,9,-17,-17
10,60,64,10,20,60,2017,2017-06-02 13:45:00,10_60_64_10_20_60,-0.33,14.86,-0.37,137,-113,-113
10,95,99,10,30,120,2017,2017-06-01 07:23:00,10_95_99_10_30_120,0.63,18.85,0.34,46,5,5
10,95,99,10,20,30,2017,2017-06-01 07:23:00,10_95_99_10_20_30,0.41,10.26,0.86,46,-4,-4
10,30,34,10,20,30,2017,2017-06-02 12:31:00,10_30_34_10_20_30,0.54,12.54,1.15,150,6,6
10,5,9,10,20,30,2017,2017-06-02 12:31:00,10_5_9_10_20_30,-1.25,10.91,-2.64,103,-180,-180
10,65,69,10,20,60,2017,2017-06-02 13:37:00,10_65_69_10_20_60,-1.7,15.06,-1.93,135,-297,-297
10,95,99,10,30,60,2017,2017-06-01 07:23:00,10_95_99_10_30_60,1.47,14.61,1.53,46,44,44
10,10,14,10,20,30,2017,2017-06-02 12:31:00,10_10_14_10_20_30,-0.58,11.15,-1.23,121,-130,-130
10,45,49,10,20,60,2017,2017-06-02 19:04:00,10_45_49_10_20_60,-0.91,15.18,-1.04,125,-176,-176
10,50,54,10,20,60,2017,2017-06-02 17:55:00,10_50_54_10_20_60,-0.59,15.97,-0.67,119,-129,-129
10,45,49,10,20,30,2017,2017-06-02 19:04:00,10_45_49_10_20_30,-0.21,12.43,-0.46,125,-88,-88
10,95,99,10,20,60,2017,2017-06-01 07:23:00,10_95_99_10_20_60,1.18,14.38,1.29,46,31,30
10,55,59,10,20,60,2017,2017-06-02 13:45:00,10_55_59_10_20_60,0.17,15.78,0.2,115,-37,-37
10,70,74,10,20,60,2017,2017-06-02 13:20:00,10_70_74_10_20_60,-0.57,15.47,-0.63,135,-144,-144
10,40,44,10,20,60,2017,2017-06-02 19:35:00,10_40_44_10_20_60,-1.0,15.5,-1.15,138,-207,-206
10,55,59,10,20,30,2017,2017-06-02 13:45:00,10_55_59_10_20_30,0.09,12.76,0.2,115,-47,-47
10,90,94,10,20,60,2017,2017-06-02 12:48:00,10_90_94_10_20_60,0.06,15.32,0.06,105,-46,-46
10,40,44,10,20,30,2017,2017-06-02 19:35:00,10_40_44_10_20_30,-0.44,12.41,-0.93,138,-129,-129
10,75,79,10,20,30,2017,2017-06-02 13:20:00,10_75_79_10_20_30,0.68,12.25,1.42,123,22,22
10,10,14,10,20,60,2017,2017-06-02 12:31:00,10_10_14_10_20_60,-1.38,14.3,-1.55,121,-227,-227
10,25,29,10,20,30,2017,2017-06-02 12:31:00,10_25_29_10_20_30,0.19,12.29,0.39,137,-42,-42
10,0,4,10,20,30,2017,2017-06-02 12:33:00,10_0_4_10_20_30,-0.06,11.24,-0.13,9,-5,-5
10,5,9,10,20,60,2017,2017-06-02 12:31:00,10_5_9_10_20_60,-2.14,13.75,-2.43,103,-271,-271
