bPRSL0,bPRSL1,bPRSL2,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
10,95,99,60,2017,2017-06-01 07:23:00,10_95_99_60,0.4,16.83,0.4,46,-4,-4
5,0,4,60,2017,2017-06-02 12:33:00,5_0_4_60,-1.47,15.44,-1.5,10,-19,-19
20,90,99,30,2017,2017-06-01 02:03:00,20_90_99_30,0.23,12.06,0.45,27,-7,-7
20,95,99,10,2017,2017-06-01 07:31:00,20_95_99_10,-0.97,5.96,-5.79,40,-58,-58
10,0,4,10,2017,2017-06-02 12:33:00,10_0_4_10,0.34,5.4,2.07,9,-1,-1
5,0,4,30,2017,2017-06-02 12:33:00,5_0_4_30,-0.18,11.64,-0.36,10,-6,-6
10,0,4,60,2017,2017-06-02 12:33:00,10_0_4_60,-1.54,15.31,-1.58,9,-18,-18
5,95,99,60,2017,2017-06-01 07:26:00,5_95_99_60,1.61,16.84,1.61,50,55,54
5,0,4,10,2017,2017-06-02 12:33:00,5_0_4_10,-0.69,5.52,-4.19,10,-11,-11
20,95,99,60,2017,2017-06-01 07:31:00,20_95_99_60,-0.29,16.11,-0.29,40,-31,-30
10,95,99,30,2017,2017-06-01 07:23:00,10_95_99_30,0.42,10.71,0.85,46,-3,-3
5,95,99,10,2017,2017-06-01 07:26:00,5_95_99_10,0.41,6.78,2.44,50,-4,-4
20,0,4,60,2017,2017-06-02 12:33:00,20_0_4_60,-3.15,13.85,-3.22,8,-29,-29
5,90,99,30,2017,2017-05-30 14:38:00,5_90_99_30,1.64,12.88,3.27,14,15,15
20,0,4,30,2017,2017-06-02 12:33:00,20_0_4_30,-1.74,10.74,-3.56,8,-17,-17
10,90,99,30,2017,2017-05-30 14:42:00,10_90_99_30,1.03,11.67,2.06,22,11,11
20,0,4,10,2017,2017-06-02 12:33:00,20_0_4_10,-0.32,6.01,-1.95,8,-6,-6
5,95,99,30,2017,2017-06-01 07:26:00,5_95_99_30,1.01,11.19,2.02,50,25,25
10,95,99,10,2017,2017-06-01 07:23:00,10_95_99_10,0.21,7.45,1.28,46,-13,-12
10,0,4,30,2017,2017-06-02 12:33:00,10_0_4_30,-0.04,11.29,-0.09,9,-4,-4
20,95,99,30,2017,2017-06-01 07:31:00,20_95_99_30,-0.56,11.04,-1.12,40,-42,-42
